student_id,Introduction to Computer Science,Structured Programming,Structured Programming Lab,Calculus 1,Calculus 2,Discrete Mathematics,Statistical Methods,Linear Algebra,Object Oriented Programming,Object Oriented Programming Lab,Data Structures and Introduction to Algorithms,Algorithms Design and Analysis,Database Systems,Database Systems Lab,Operating Systems,Operating Systems Lab,Distributed Systems,Computer and Society,Information Systems Security,Introduction to Data Science,Introduction to Data Science Lab,Data Engineering,Data Engineering Lab,Statistics and Probability for Data Science,Artificial Intelligence,Computer Architecture for Machine Learning,Natural Language Processing,High Performance Computing for Big Data,Data Visualization,Pattern Recognition,Data Mining,Business Intelligence
20200053,47,93,,48,73,,96.0,98.0,83.0,,76,,,,,,,62.0,,67.0,,,,93,77.0,,,,,59.0,56.0,
20200054,85,44,43.0,60,42,57.0,55.0,61.0,57.0,64.0,58,88.0,94.0,76.0,53.0,,,54.0,,95.0,,,,49,77.0,77.0,,,,80.0,53.0,
20200055,52,57,,96,80,85.0,93.0,56.0,82.0,,56,93.0,78.0,,72.0,,53.0,52.0,84.0,65.0,,,,69,57.0,,,,,,,
20200056,59,40,,73,81,,78.0,75.0,56.0,68.0,96,83.0,40.0,,55.0,94.0,55.0,66.0,61.0,,,,,80,,100.0,,,,,,
20200057,86,75,46.0,54,56,53.0,,81.0,,,77,45.0,,,68.0,,,41.0,80.0,,,,,75,,,,,,51.0,,
20200058,52,75,48.0,74,52,42.0,67.0,86.0,66.0,,84,52.0,100.0,90.0,65.0,86.0,87.0,92.0,,,,,,44,53.0,63.0,85.0,,,,,
20200059,98,70,61.0,51,68,63.0,89.0,64.0,66.0,79.0,49,40.0,85.0,67.0,92.0,49.0,54.0,83.0,,,,,,44,96.0,62.0,,,,,,
20200060,80,64,49.0,52,43,67.0,78.0,70.0,42.0,77.0,41,67.0,75.0,58.0,48.0,81.0,99.0,54.0,,,,,,42,44.0,63.0,,,,,,
20200061,40,51,72.0,56,94,93.0,,81.0,82.0,,87,,,,,,,100.0,,,,,,87,41.0,49.0,,,,,,
20200062,86,54,98.0,61,54,56.0,42.0,40.0,52.0,99.0,50,74.0,,,,,,,,,,,,42,89.0,80.0,,,,80.0,,
20200063,66,92,82.0,50,51,56.0,,83.0,46.0,,59,,64.0,,95.0,66.0,98.0,88.0,,,,,,86,79.0,89.0,,,,84.0,,
20200064,100,87,83.0,62,86,77.0,,70.0,78.0,,91,85.0,68.0,,41.0,,,100.0,,,,,,75,41.0,57.0,,,,,,
20200065,99,43,,52,81,,49.0,41.0,45.0,,76,,76.0,,59.0,,,,80.0,70.0,76.0,,,72,,92.0,,,,,,
20200066,91,91,91.0,61,91,71.0,63.0,50.0,86.0,,77,69.0,48.0,,88.0,,,57.0,,,,,,80,,49.0,,,,46.0,,
20200067,49,58,71.0,93,43,,43.0,78.0,94.0,,53,,,,,,,65.0,,,,,,87,85.0,97.0,,,,76.0,,
20200068,63,60,67.0,47,48,95.0,,48.0,,,77,98.0,55.0,,51.0,,,44.0,,,,,,54,,69.0,,,,,,
20200069,86,40,82.0,79,43,75.0,64.0,89.0,94.0,,88,53.0,91.0,,86.0,,,49.0,97.0,87.0,,,,98,97.0,88.0,,,,83.0,,
20200070,82,97,70.0,47,87,99.0,82.0,100.0,53.0,79.0,44,47.0,99.0,65.0,72.0,68.0,67.0,61.0,,,,,,98,50.0,88.0,99.0,,,,,
20200071,93,51,,61,88,57.0,99.0,43.0,50.0,61.0,96,59.0,100.0,74.0,,,,48.0,,87.0,,,,65,91.0,85.0,70.0,,,,77.0,
20200072,66,95,61.0,59,91,95.0,40.0,100.0,,,81,71.0,95.0,,91.0,,,,,45.0,98.0,,,48,78.0,94.0,,,,,98.0,
20200073,40,53,85.0,75,49,58.0,53.0,95.0,51.0,41.0,99,91.0,85.0,62.0,44.0,94.0,,96.0,,92.0,66.0,,,91,74.0,52.0,89.0,,,92.0,87.0,
20200074,90,40,86.0,81,59,62.0,74.0,93.0,61.0,54.0,76,64.0,77.0,92.0,58.0,81.0,48.0,97.0,91.0,,,,,62,51.0,92.0,82.0,,,40.0,,
20200075,53,58,88.0,81,100,61.0,98.0,50.0,90.0,66.0,48,71.0,52.0,57.0,80.0,86.0,72.0,76.0,54.0,,,,,91,96.0,51.0,,,,90.0,,
20200076,95,77,93.0,56,84,,52.0,43.0,52.0,84.0,62,41.0,,,54.0,82.0,,89.0,62.0,88.0,52.0,,,71,93.0,82.0,,,,,47.0,
20200077,44,57,,95,69,99.0,69.0,44.0,,,60,67.0,62.0,,58.0,100.0,54.0,77.0,,91.0,70.0,,,72,66.0,90.0,,,,65.0,44.0,80.0
20200078,60,87,56.0,68,53,73.0,42.0,85.0,58.0,,56,,99.0,96.0,91.0,61.0,,46.0,,46.0,,,,80,91.0,,88.0,,,54.0,,
20200079,69,86,82.0,80,58,,,,50.0,,95,41.0,53.0,43.0,88.0,,,88.0,40.0,,,,,55,60.0,93.0,,,,,,
20200080,53,83,,79,65,78.0,,,,,88,,75.0,42.0,87.0,45.0,,85.0,,,,,,80,,69.0,,,,,,
20200081,99,87,,49,59,47.0,,78.0,82.0,59.0,40,69.0,41.0,71.0,46.0,75.0,,76.0,,,,,,52,84.0,57.0,,,,98.0,,
20200082,88,93,55.0,60,71,91.0,81.0,54.0,93.0,,95,53.0,44.0,84.0,64.0,72.0,,60.0,69.0,,,,,68,90.0,62.0,83.0,,,,,
20200083,55,73,41.0,63,85,83.0,51.0,60.0,60.0,76.0,74,80.0,,,67.0,,94.0,87.0,,,,,,75,68.0,73.0,,,,91.0,,
20200084,66,53,76.0,63,55,51.0,63.0,91.0,80.0,100.0,60,,,,,,,61.0,,,,,,63,,62.0,,,,90.0,,
20200085,88,41,65.0,47,67,66.0,95.0,93.0,93.0,78.0,65,79.0,63.0,79.0,43.0,,,67.0,,,,,,95,51.0,64.0,,,,,,
20200086,76,62,52.0,63,54,,,79.0,58.0,,91,,82.0,98.0,,,,86.0,,,,,,48,97.0,,41.0,,,,,
20200087,56,75,,85,48,91.0,,73.0,86.0,,41,76.0,94.0,43.0,76.0,,,43.0,,,,,,58,46.0,53.0,,,,,,
20200088,53,42,66.0,40,53,,67.0,61.0,,,57,57.0,65.0,80.0,99.0,,,75.0,,81.0,,72.0,,76,53.0,98.0,,85.0,91.0,46.0,94.0,
20200089,69,95,56.0,71,68,53.0,86.0,52.0,61.0,78.0,93,83.0,55.0,46.0,56.0,48.0,78.0,85.0,91.0,75.0,62.0,,,100,50.0,85.0,,,,82.0,,
20200090,79,93,,96,64,,,,,,42,42.0,80.0,,66.0,97.0,,91.0,,,,,,90,62.0,,,,,,,
20200091,49,66,43.0,72,49,78.0,59.0,64.0,75.0,,78,67.0,95.0,,61.0,55.0,55.0,95.0,,,,,,87,54.0,75.0,61.0,,,82.0,,
20200092,90,99,,66,91,,78.0,61.0,,,82,52.0,42.0,50.0,91.0,,,64.0,,91.0,98.0,,,56,,83.0,,,,,,
20200093,73,86,,62,91,,,95.0,67.0,54.0,64,,41.0,,42.0,,,,,,,,,81,,64.0,,,,,,
20200094,56,42,41.0,74,77,51.0,81.0,91.0,67.0,,57,49.0,97.0,,61.0,,,70.0,92.0,,,,,43,48.0,59.0,,,,69.0,,
20200095,93,99,74.0,68,42,75.0,75.0,66.0,72.0,,56,45.0,42.0,,67.0,,,,,75.0,,,,58,98.0,95.0,,,,,,
20200096,65,52,68.0,81,53,85.0,85.0,42.0,76.0,54.0,65,64.0,57.0,90.0,80.0,60.0,59.0,82.0,76.0,,,,,50,49.0,90.0,,,,,,
20200097,75,49,69.0,81,86,73.0,99.0,85.0,44.0,83.0,43,44.0,100.0,,74.0,,,,,73.0,56.0,83.0,58.0,45,94.0,80.0,,,,,,
20200098,67,100,,42,70,,42.0,,56.0,,44,67.0,47.0,,51.0,,78.0,62.0,51.0,70.0,,,,92,84.0,91.0,,,,,,
20200099,75,86,59.0,72,83,80.0,96.0,55.0,,,51,65.0,45.0,94.0,44.0,,47.0,91.0,73.0,,,,,75,58.0,94.0,,,,,,
20200100,74,98,61.0,45,57,98.0,93.0,53.0,43.0,67.0,74,43.0,63.0,100.0,50.0,86.0,88.0,97.0,,,,,,48,80.0,66.0,85.0,,,,,
20200101,43,90,93.0,91,99,79.0,51.0,81.0,,,63,90.0,,,64.0,,,85.0,,,,,,96,44.0,,97.0,,,,,
20200102,55,62,,53,46,40.0,70.0,,94.0,,84,41.0,98.0,63.0,95.0,,,,,,,,,95,,85.0,,,,,,
20200103,99,89,76.0,78,46,99.0,40.0,40.0,93.0,,64,,,,,,,76.0,,68.0,70.0,,,48,,98.0,,,69.0,,42.0,
20200104,44,71,64.0,92,90,56.0,,49.0,62.0,,97,67.0,91.0,,74.0,84.0,62.0,,,,,,,84,84.0,96.0,,,,,,
20200105,55,88,48.0,53,52,71.0,51.0,59.0,40.0,51.0,65,88.0,71.0,86.0,62.0,67.0,,58.0,,,,,,100,70.0,93.0,,,,,,
20200106,100,79,72.0,78,96,54.0,72.0,47.0,59.0,43.0,60,56.0,100.0,52.0,43.0,62.0,,62.0,,,,,,83,83.0,91.0,,,,,,
20200107,45,63,,58,71,,,71.0,65.0,,97,53.0,83.0,,79.0,,99.0,89.0,,,,,,98,43.0,95.0,57.0,,,,,
20200108,82,46,,77,84,95.0,41.0,,59.0,,66,,,,,,,41.0,,,,,,85,74.0,100.0,75.0,,,,,
20200109,49,83,67.0,96,47,99.0,86.0,,83.0,,54,61.0,77.0,69.0,93.0,81.0,59.0,80.0,76.0,,,,,62,90.0,,,,,,,
20200110,66,50,,50,94,43.0,97.0,50.0,,,83,72.0,70.0,,94.0,53.0,66.0,,50.0,67.0,,,,50,52.0,42.0,,,,53.0,,
20200111,99,87,49.0,84,92,70.0,53.0,98.0,43.0,41.0,64,61.0,55.0,58.0,82.0,99.0,71.0,50.0,85.0,,,,,67,,78.0,,,,44.0,,
20200112,78,57,84.0,83,89,91.0,100.0,91.0,68.0,44.0,85,59.0,74.0,96.0,97.0,45.0,,91.0,,,,,,75,53.0,69.0,99.0,,,93.0,,
20200113,99,95,42.0,100,89,99.0,75.0,60.0,54.0,,41,70.0,74.0,,92.0,85.0,82.0,84.0,51.0,86.0,,84.0,,78,88.0,92.0,76.0,,,60.0,,
20200114,41,58,57.0,87,52,55.0,55.0,,62.0,,53,,86.0,,86.0,,99.0,61.0,,93.0,49.0,,,43,92.0,50.0,,,,,42.0,
20200115,81,81,59.0,58,46,68.0,45.0,93.0,84.0,42.0,83,81.0,57.0,68.0,67.0,84.0,59.0,66.0,69.0,83.0,99.0,,,79,72.0,53.0,,,,,,
20200116,69,56,71.0,63,45,86.0,96.0,95.0,42.0,59.0,46,88.0,47.0,56.0,53.0,50.0,,42.0,52.0,,,,,47,63.0,73.0,54.0,,,,,
20200117,93,70,90.0,64,53,68.0,84.0,72.0,52.0,88.0,64,,57.0,,81.0,83.0,56.0,47.0,97.0,49.0,53.0,,,69,69.0,,66.0,,,,,
20200118,60,92,99.0,50,81,87.0,91.0,89.0,68.0,71.0,47,54.0,74.0,74.0,48.0,95.0,,92.0,,,,,,61,57.0,48.0,61.0,,,96.0,,
20200119,71,69,59.0,90,61,73.0,77.0,76.0,48.0,59.0,96,46.0,51.0,55.0,84.0,89.0,,81.0,,,,,,89,98.0,52.0,,,,60.0,,
20200120,87,96,48.0,61,97,,83.0,96.0,81.0,92.0,45,90.0,77.0,,87.0,,,60.0,,96.0,,44.0,,53,94.0,91.0,80.0,49.0,,,58.0,
20200121,87,44,,99,81,52.0,,77.0,73.0,,61,,,,95.0,,,100.0,49.0,,,,,95,82.0,54.0,55.0,,,,,
20200122,84,41,,98,81,49.0,69.0,88.0,,,76,,,,,,,66.0,,,,,,45,71.0,,85.0,,,96.0,,
20200123,97,83,67.0,79,56,,,53.0,59.0,,63,91.0,,,47.0,,85.0,72.0,,,,,,54,,,,,,,,
20200124,56,98,,96,52,78.0,76.0,,46.0,,97,50.0,,,75.0,,,,,,,,,91,,68.0,,,,,,
20200125,41,61,96.0,62,52,46.0,,85.0,67.0,,95,72.0,,,87.0,,,,,,,,,92,,66.0,,,,,,
20200126,67,71,88.0,88,93,97.0,48.0,,40.0,73.0,90,,,,80.0,,,80.0,,,,,,58,65.0,76.0,79.0,,,,,
20200127,91,43,66.0,99,61,68.0,54.0,100.0,,,61,96.0,,,56.0,,,80.0,,,,,,91,54.0,49.0,,,,55.0,,
20200128,66,98,82.0,84,65,96.0,90.0,99.0,51.0,55.0,77,68.0,63.0,58.0,88.0,,,50.0,,,,,,69,42.0,53.0,,,,69.0,,
20200129,84,59,68.0,93,97,70.0,89.0,96.0,60.0,,93,70.0,92.0,46.0,99.0,68.0,50.0,81.0,50.0,,,,,84,51.0,45.0,83.0,,,,,
20200130,91,49,,47,74,42.0,41.0,61.0,94.0,,92,58.0,,,64.0,,,68.0,,,,,,58,,59.0,,,,,,
20200131,60,44,54.0,86,50,73.0,96.0,100.0,57.0,,92,52.0,40.0,,98.0,,45.0,57.0,96.0,,,,,83,40.0,67.0,,,,,,
20200132,45,89,65.0,83,97,86.0,,73.0,,,88,72.0,60.0,100.0,81.0,79.0,,58.0,,,,,,82,77.0,,,,,70.0,,
20200133,69,71,,69,44,82.0,54.0,55.0,53.0,,97,95.0,47.0,,90.0,,,,,,,,,70,,,,,,,,
20200134,87,63,60.0,99,88,99.0,63.0,97.0,85.0,92.0,48,48.0,59.0,65.0,85.0,66.0,,62.0,,,,,,50,75.0,66.0,54.0,,,58.0,,
20200135,71,84,53.0,93,45,69.0,71.0,61.0,82.0,75.0,75,54.0,95.0,77.0,54.0,60.0,40.0,94.0,,,,,,89,92.0,45.0,68.0,,,61.0,,
20200136,41,40,83.0,48,72,76.0,82.0,93.0,,,48,81.0,65.0,55.0,57.0,82.0,70.0,89.0,57.0,43.0,,,,92,84.0,98.0,,,,,,
20200137,55,57,96.0,90,43,98.0,,,,,96,79.0,98.0,82.0,57.0,,,,,,,,,95,98.0,94.0,,,,,,
20200138,62,61,98.0,61,57,65.0,75.0,97.0,92.0,94.0,56,49.0,64.0,84.0,50.0,,,95.0,,,,,,61,57.0,81.0,100.0,,,71.0,,
20200139,91,44,100.0,57,46,90.0,72.0,100.0,,,73,53.0,83.0,47.0,82.0,53.0,,67.0,,,,,,90,89.0,67.0,,,,63.0,,
20200140,94,63,44.0,92,56,,98.0,,,,62,92.0,,,87.0,,,56.0,96.0,89.0,,,,99,90.0,,52.0,,,,,
20200141,56,75,88.0,56,75,75.0,49.0,53.0,51.0,44.0,65,77.0,80.0,70.0,65.0,,,95.0,,50.0,,,,83,77.0,84.0,,,,64.0,,
20200142,68,87,66.0,67,68,85.0,71.0,80.0,80.0,79.0,57,70.0,88.0,51.0,72.0,94.0,,71.0,96.0,,,,,54,90.0,48.0,,,,100.0,,
20200143,43,91,97.0,49,86,59.0,92.0,79.0,64.0,76.0,87,81.0,82.0,70.0,61.0,51.0,,65.0,,,,,,55,94.0,82.0,96.0,,,,,
20200144,83,83,61.0,69,90,,,73.0,96.0,,71,67.0,68.0,97.0,49.0,61.0,,78.0,62.0,,,,,90,87.0,90.0,,,,,,
20200145,47,79,52.0,90,71,51.0,79.0,94.0,82.0,,92,,66.0,,84.0,,,57.0,,50.0,,,,90,63.0,100.0,,,,58.0,,
20200146,56,73,95.0,63,86,66.0,,94.0,55.0,,87,64.0,98.0,48.0,89.0,,,76.0,,,,,,48,64.0,88.0,,,,,,
20200147,45,55,,64,80,,46.0,100.0,53.0,,91,,85.0,83.0,57.0,75.0,46.0,40.0,,,,,,97,95.0,99.0,,,,94.0,,
20200148,84,60,67.0,95,85,80.0,81.0,54.0,51.0,85.0,97,74.0,81.0,,68.0,81.0,62.0,97.0,,46.0,72.0,,,73,76.0,90.0,,,,,,
20200149,61,79,44.0,41,83,62.0,90.0,96.0,91.0,66.0,55,90.0,68.0,77.0,79.0,74.0,,48.0,,,,,,89,40.0,55.0,84.0,,,78.0,,
20200150,94,51,44.0,92,90,98.0,60.0,,98.0,87.0,59,71.0,,,,,,85.0,,,,,,89,69.0,,,,,,,
20200151,57,79,41.0,80,43,53.0,90.0,83.0,75.0,,74,56.0,55.0,,49.0,59.0,,67.0,,48.0,,,,70,76.0,97.0,,,,76.0,,
20200152,40,90,76.0,63,75,85.0,,64.0,65.0,75.0,50,58.0,96.0,,67.0,66.0,,,,,,,,57,,62.0,,,,,,
20200153,69,41,71.0,75,42,68.0,53.0,94.0,96.0,44.0,97,59.0,81.0,100.0,60.0,67.0,90.0,64.0,77.0,,,,,49,63.0,83.0,,,,41.0,,
20200154,88,82,46.0,55,97,58.0,67.0,57.0,,,95,,70.0,99.0,,,,97.0,,,,,,68,83.0,40.0,,,,,,
20200155,66,98,94.0,56,66,,68.0,,,,73,81.0,97.0,,,,,89.0,,,,,,73,67.0,,,,,,,
20200156,84,96,76.0,98,40,78.0,63.0,88.0,62.0,85.0,78,58.0,96.0,61.0,76.0,,67.0,91.0,,,,,,53,52.0,77.0,98.0,,,,,
20200157,54,96,45.0,71,71,92.0,,89.0,,,95,94.0,,,58.0,98.0,45.0,95.0,,,,,,97,55.0,54.0,,,,,,
20200158,84,83,49.0,84,53,76.0,78.0,44.0,67.0,72.0,73,52.0,93.0,84.0,51.0,45.0,93.0,80.0,67.0,55.0,68.0,,,63,95.0,56.0,,,,64.0,,
20200159,84,81,68.0,92,54,,,94.0,,,100,53.0,60.0,91.0,64.0,,,48.0,,,,,,48,,,,,,,,
20200160,58,79,55.0,86,76,,74.0,92.0,88.0,,82,66.0,100.0,90.0,97.0,,67.0,47.0,,41.0,89.0,,,66,94.0,71.0,,,92.0,44.0,85.0,64.0
20200161,99,40,,87,51,77.0,,,61.0,63.0,98,46.0,,,,,,92.0,,,,,,89,89.0,,,,,,,
20200162,48,84,55.0,100,73,44.0,60.0,88.0,88.0,,58,78.0,97.0,93.0,62.0,44.0,,55.0,,,,,,81,64.0,48.0,,,,,,
20200163,46,59,,84,48,59.0,68.0,97.0,50.0,56.0,52,,67.0,,81.0,67.0,,,65.0,,,,,78,,,,,,76.0,,
20200164,82,40,,96,77,90.0,,,55.0,,62,77.0,68.0,97.0,54.0,66.0,,,,,,,,56,,,,,,,,
20200165,61,93,45.0,47,46,67.0,44.0,97.0,96.0,48.0,66,99.0,97.0,,,,,,,59.0,,,,57,62.0,,,,,,,
20200166,64,42,95.0,95,44,,,52.0,,,72,45.0,91.0,45.0,80.0,,,,,,,,,89,,,,,,,,
20200167,45,51,66.0,53,54,50.0,,40.0,41.0,67.0,42,82.0,,,89.0,88.0,,,,,,,,98,68.0,,77.0,,,,,
20200168,76,43,67.0,87,53,43.0,52.0,90.0,78.0,77.0,76,83.0,74.0,,57.0,,54.0,75.0,,55.0,,,,60,48.0,99.0,67.0,,,,,
20200169,46,97,48.0,88,51,73.0,54.0,59.0,70.0,43.0,94,44.0,89.0,,44.0,82.0,73.0,71.0,59.0,,,,,53,64.0,50.0,,,,50.0,,
